,Artist,Streams,,,,,,,
,Cartel De Santa,"2,895,653,248","167,710,793",136,0,5,60,125,10/24/21
,24kGoldn,"2,887,437,854","118,073,681",52,1,6,18,45,10/04/21
,H.E.R.,"2,885,139,784","359,387,030",97,0,6,47,91,10/11/21
,ScHoolboy Q,"2,878,619,690","1,304,426,537",103,0,7,50,98,01/19/21
,James Blunt,"2,858,174,256","16,816,870",160,0,6,42,103,10/09/21
,Daniel Caesar,"2,844,617,347","961,532,352",36,0,6,32,35,10/17/21
,Rudimental,"2,844,040,533","19,915,054",188,0,6,30,112,08/28/21
,Pentatonix,"2,825,904,306","3,644,612",185,0,2,87,161,09/13/21
,Marc Anthony,"2,814,469,761","1,516,100,682",187,0,5,53,131,09/02/21
,Duki,"2,813,958,791","716,396,186",123,0,5,46,111,10/27/21
,Lil Yachty,"2,812,612,985","3,985,655,389",175,0,6,50,146,10/25/21
,Macklemore & Ryan Lewis,"2,803,083,548",0,35,1,5,18,35,01/02/21
,Armin van Buuren,"2,795,922,270","189,205,318","2,179",0,4,43,288,09/04/21
,Jack Harlow,"2,792,803,712","198,029,025",81,0,6,23,75,10/27/21
,Alejandro Sanz,"2,760,377,767","459,738,027",362,0,5,49,195,04/30/21
,Bon Iver,"2,756,547,170","743,238,757",59,0,5,47,55,08/07/21
,Liam Payne,"2,748,327,107","16,355,477",51,0,7,16,39,10/27/21
,Sam Hunt,"2,747,992,556","16,649,604",59,0,7,31,54,09/03/21
,Dire Straits,"2,745,386,315","1,066,153",100,0,5,38,95,10/14/21
,Sigala,"2,741,489,245","49,758,671",100,0,9,28,67,10/18/21
,Bryan Adams,"2,714,849,291","128,622,453",350,0,6,32,122,10/14/21
,Nelly,"2,694,849,952","614,589,784",208,0,7,27,89,10/05/21
,Calibre 50,"2,693,994,107","68,199,894",226,0,2,63,163,09/29/21
,Ski Mask The Slump God,"2,693,903,857","925,373,173",70,0,7,39,69,10/24/21
,Quavo,"2,690,677,555","9,212,851,385",77,0,5,43,63,10/24/21
,Offset,"2,686,635,257","5,014,465,657",45,0,7,28,34,09/08/21
,Blake Shelton,"2,673,339,567","203,985,620",197,0,7,40,124,10/26/21
,Zac Brown Band,"2,665,284,207","9,980,501",135,0,5,45,105,09/16/21
,Dean Lewis,"2,664,770,895","1,590,904",37,1,6,21,34,10/05/21
,Bee Gees,"2,664,394,993","49,322,664",447,0,5,32,104,10/27/21
,BROCKHAMPTON,"2,664,137,176",0,112,0,4,67,106,09/26/21
,Jhené Aiko,"2,661,065,549","2,292,555,199",113,0,7,62,90,10/25/21
,Don Toliver,"2,658,293,736","525,920,094",66,0,5,23,58,10/14/21
,Jeremy Zucker,"2,657,586,274","132,164,307",96,0,6,32,81,10/24/21
,The Vamps,"2,656,516,116",0,148,0,8,33,114,10/18/21
,Carlos Vives,"2,634,973,119","187,400,087",253,0,5,33,138,10/11/21
,LANY,"2,632,975,533","254,183,100",77,0,7,52,76,10/18/21
,PARTYNEXTDOOR,"2,612,063,990","1,653,897,950",78,0,8,45,77,08/01/21
,The Black Keys,"2,610,642,075",0,151,0,5,48,135,09/25/21
,Charli XCX,"2,608,545,382","1,243,522,116",189,0,7,41,128,10/20/21
,Mike Posner,"2,606,726,952","261,138,704",179,1,3,19,67,09/03/21
,R3HAB,"2,599,363,557","1,031,797,301",278,0,3,60,177,04/01/21
,Skillet,"2,578,135,156",0,184,0,7,43,108,10/18/21
,Ninho,"2,575,029,540","1,180,632,700",129,0,2,84,110,08/26/21
,Danny Ocean,"2,574,453,620","159,628,188",46,1,4,20,30,10/26/21
,Birdy,"2,568,586,585","80,561,054",102,0,7,38,85,10/27/21
,The Police,"2,552,546,470","63,893",124,0,4,17,83,09/27/21
,Lil Durk,"2,549,445,798","1,769,149,190",301,0,2,45,213,10/12/21
,Marvin Gaye,"2,542,567,834","31,697,491",725,0,6,23,103,06/14/21
,ILLENIUM,"2,530,287,130","138,316,438",195,0,4,51,138,08/24/21
,Iron Maiden,"2,530,239,475","47,269",410,0,5,42,254,10/17/21
,Boyce Avenue,"2,527,510,203","172,556",414,0,0,59,325,03/09/21
,Lost Frequencies,"2,526,122,879","249,791,580",343,0,6,26,105,09/16/21
,T.I.,"2,505,264,423","2,375,139,213",452,0,6,37,199,10/11/21
,Maren Morris,"2,500,709,904","479,019,629",58,1,5,22,48,10/11/21
,The Doors,"2,495,672,622","21,036,766",699,0,7,43,133,10/13/21
,Carly Rae Jepsen,"2,493,120,951","59,616,218",137,0,5,31,97,10/20/21
,Bradley Cooper,"2,487,634,968","359,924",12,1,4,10,10,10/26/21
,Tim McGraw,"2,487,273,067","57,458,469",265,0,5,50,125,09/04/21
,Arijit Singh,"2,485,772,117","559,597,585",460,0,1,63,205,10/22/21
,Rise Against,"2,477,579,916","2,529",171,0,4,46,157,06/30/21
,John Williams,"2,473,267,821","12,238,904","2,125",0,2,27,321,04/25/21
,A$AP Ferg,"2,470,622,318","1,089,570,780",95,0,5,45,88,08/25/21
,Soda Stereo,"2,466,487,967","7,876",198,0,4,44,172,10/23/21
,Bibi Blocksberg,"2,454,680,653","76,626","5,166",0,0,1,367,10/09/21
,Juanes,"2,454,384,110","652,732,835",202,0,7,33,113,08/21/21
,Iggy Azalea,"2,453,113,075","999,892,506",95,0,7,26,65,08/01/21
,Mau y Ricky,"2,449,094,717","232,947,793",60,0,5,30,57,10/26/21
,Glass Animals,"2,446,863,235","3,077,354",92,0,4,38,74,09/20/21
,SAINt JHN,"2,446,549,724","113,874,585",54,1,1,30,52,10/25/21
,RAF Camora,"2,440,089,380","908,258,830",332,0,3,56,136,10/25/21
,Madison Beer,"2,433,922,497","119,201,973",52,0,10,26,45,10/24/21
,Chris Stapleton,"2,433,659,229","512,003,676",60,0,7,43,57,10/25/21
,alt-J,"2,432,389,757","748,988",133,0,6,36,84,02/07/21
,Mabel,"2,431,744,282","6,630,941",120,0,6,20,70,10/26/21
,Cage The Elephant,"2,419,280,961",0,107,0,5,36,82,07/05/21
,Anderson .Paak,"2,415,457,496","1,018,847,607",139,0,2,58,106,09/08/21
,Weezer,"2,410,637,605","4,330,558",252,0,4,41,186,09/11/21
,Lunay,"2,399,170,007","732,417,102",52,0,6,27,47,10/23/21
,Alec Benjamin,"2,398,141,593","1,151,623",31,0,5,27,30,08/09/21
,Nick Jonas,"2,391,622,288","49,934,337",95,0,8,26,73,10/12/21
,Noah Cyrus,"2,391,075,192","109,833,231",64,0,5,26,56,10/25/21
,The Cure,"2,386,064,850","1,105,177",516,0,5,23,164,10/17/21
,Hillsong Worship,"2,382,405,691","13,420,180",830,0,1,59,273,04/17/21
,Journey,"2,379,474,809","3,468",260,1,5,17,82,09/04/21
,Kenny Chesney,"2,379,335,824","130,548,443",277,0,3,48,178,09/16/21
,Eric Church,"2,378,969,879","249,659,793",249,0,4,48,115,09/16/21
,La Arrolladora Banda El Limón De Rene Camacho,"2,377,937,424","8,659,502",323,0,3,56,219,03/29/21
,Los Ángeles Azules,"2,372,052,568","67,465,206",311,0,5,53,113,10/19/21
,ROSALÍA,"2,367,422,261","1,499,635,681",36,0,5,26,36,10/26/21
,Calum Scott,"2,366,671,092","29,199,387",58,0,5,19,48,10/18/21
,Norah Jones,"2,366,368,088","115,861,106",264,0,4,54,138,10/27/21
,Rex Orange County,"2,362,465,362","278,794,678",46,0,6,31,38,07/05/21
,Destiny's Child,"2,355,095,878","16,265,122",168,0,7,18,83,10/26/21
,EXO,"2,338,093,592",0,310,0,6,52,157,10/27/21
,MAGIC!,"2,336,632,865","192,399,336",66,0,3,17,53,01/13/21
,The xx,"2,334,576,947","7,809,950",75,0,5,36,65,08/23/21
,Jesse & Joy,"2,327,035,278","301,776,120",106,0,9,35,86,10/11/21
,Normani,"2,320,192,298","96,243,851",14,0,3,12,14,10/26/21
,Sam Feldt,"2,316,428,982","278,689,842",148,0,4,44,101,04/22/21
,JP Cooper,"2,313,756,992","41,450,367",110,0,4,26,78,03/29/21
,Simon & Garfunkel,"2,313,385,499",0,172,0,5,24,119,10/18/21
,Paul McCartney,"2,312,172,585","360,534,463",822,0,3,24,163,10/24/21
,Jon Bellion,"2,309,740,533","295,021,535",85,0,3,44,80,09/21/21
,Depeche Mode,"2,307,763,422",0,623,0,3,39,257,10/26/21
,Os Barões Da Pisadinha,"2,298,872,012","45,953,136",144,0,6,61,118,10/20/21
,Juan Gabriel,"2,298,030,902","88,525,686",476,0,1,52,219,08/28/21
,Eric Clapton,"2,297,376,676","432,236,066",641,0,6,23,201,09/22/21
,iann dior,"2,296,968,920","162,741,711",45,0,5,27,42,03/30/21
,Kid Ink,"2,294,713,265","2,561,501,342",186,0,5,38,130,09/03/21
,Becky Hill,"2,289,419,718","25,614,697",164,0,7,21,64,10/20/21
,Conan Gray,"2,285,079,786",0,24,0,3,23,24,10/18/21
,X Ambassadors,"2,282,213,890","1,096,162,310",117,0,4,31,84,09/25/21
,Rich The Kid,"2,278,565,527","1,654,547,449",150,0,4,40,111,07/22/21
,MEDUZA,"2,278,364,238","9,103,231",45,0,4,10,28,10/26/21
,Maiara & Maraisa,"2,275,540,386","642,461,361",147,0,6,43,138,10/25/21
,Ufo361,"2,273,580,644","563,647,237",233,0,0,63,185,10/13/21
,Dimitri Vegas & Like Mike,"2,269,766,636","105,236,190",252,0,2,52,135,08/12/21
,Aminé,"2,267,361,394","135,565,474",60,0,4,37,59,10/03/21
,PNL,"2,258,890,802",0,72,0,1,64,72,10/16/21
,Måneskin,"2,246,766,625","2,773,937",31,0,4,24,29,10/26/21
,Grey,"2,237,009,771","17,803,531",52,1,2,7,21,03/29/21
,AJR,"2,229,775,743","92,176,747",86,0,5,35,61,10/13/21
,Summer Walker,"2,228,928,949","817,124,199",67,0,5,43,54,10/26/21
,KYLE,"2,221,095,540","142,308,083",102,0,4,29,84,10/26/21
,Outkast,"2,220,310,296","77,417,373",163,0,4,23,120,01/03/21
,Breaking Benjamin,"2,220,298,523","10,693,695",102,0,3,51,97,08/25/21
,The Beach Boys,"2,219,726,058","6,755,729","1,395",0,7,25,123,10/23/21
,Matoma,"2,218,870,898","286,156,543",113,0,5,29,76,05/14/21
,Korn,"2,218,697,801","7,219,257",282,0,4,42,187,06/18/21
,B.o.B,"2,216,408,358","1,126,272,007",417,0,6,22,79,10/13/21
,Hillsong UNITED,"2,213,882,439","117,014,211",345,0,2,55,221,07/06/21
,Sabrina Carpenter,"2,212,958,841","139,429,191",86,0,6,36,74,10/15/21
,NLE Choppa,"2,211,884,387","473,864,680",101,0,4,32,80,09/27/21
,Jimi Hendrix,"2,211,567,941","420,865",503,0,5,27,134,10/15/21
,R.E.M.,"2,206,985,274","270,936",682,0,5,18,123,10/17/21
,Imanbek,"2,202,218,740","17,589,546",49,1,1,15,35,10/09/21
,Jax Jones,"2,198,370,899","286,794,203",60,0,8,16,40,04/27/21
,The Game,"2,197,825,970","499,556,884",718,0,6,35,197,08/29/21
,Volbeat,"2,190,712,919","172,614",188,0,5,46,138,09/06/21
,Papa Roach,"2,186,301,108","29,615,688",219,0,3,33,136,04/03/21
,Rick Ross,"2,185,132,256","4,451,513,119",320,0,4,41,182,09/23/21
,MARINA,"2,181,316,239","6,334,639",110,0,4,50,86,10/26/21
,T-Pain,"2,174,064,184","2,648,920,275",209,0,6,28,108,10/25/21
,George Michael,"2,172,425,314","25,962,645",187,0,3,31,118,10/24/21
,DNCE,"2,154,397,216","288,985,200",31,1,4,17,30,09/03/21
,Robbie Williams,"2,150,770,809","18,579,742",395,0,5,36,189,10/20/21
,Bonez MC,"2,150,081,724","1,395,266,022",151,0,4,50,105,08/06/21
,Christina Perri,"2,145,930,404","60,118,995",76,0,3,15,50,06/22/21
,Rag'n'Bone Man,"2,139,559,897","71,286,582",129,0,3,27,76,10/14/21
,The Fray,"2,138,584,073","4,002,648",98,0,5,22,60,09/05/21
,Van Morrison,"2,137,718,521","71,743,471",842,0,4,19,123,10/23/21
,Years & Years,"2,136,276,288","71,667,883",87,0,7,28,65,07/18/21
,Juan Magán,"2,132,723,236","770,831,049",225,0,5,40,105,07/19/21
,Stormzy,"2,132,107,611","901,352,007",69,0,5,48,67,10/19/21
,Shinedown,"2,128,837,552",0,176,0,3,48,115,10/18/21
,Bizarrap,"2,122,821,288","363,308,367",76,0,5,46,73,10/19/21
,Ludovico Einaudi,"2,116,061,503","2,128,695",507,0,3,38,221,06/29/21
,bbno$,"2,100,709,994","205,064,285",143,0,1,35,111,10/26/21
,KHEA,"2,095,947,778","727,204,852",71,0,5,38,68,10/20/21
,Hollywood Undead,"2,089,253,005","12,917,755",138,0,3,66,124,10/24/21
,All Time Low,"2,076,356,282","909,165",209,0,2,46,158,08/31/21
,Lynyrd Skynyrd,"2,074,293,000","242,455",354,0,4,15,72,09/29/21
,Tate McRae,"2,066,435,093","3,080,396",38,0,5,21,36,10/27/21
,Rage Against The Machine,"2,062,437,666","444,029",109,0,3,29,78,10/14/21
,The Smiths,"2,054,724,322",0,143,0,5,41,106,10/18/21
,"Earth, Wind & Fire","2,049,724,576","74,980,903",419,0,3,19,64,09/01/21
,Of Monsters and Men,"2,044,333,886","2,899,928",54,0,5,28,52,08/24/21
,Axwell /\ Ingrosso,"2,043,412,175","2,161,352",47,0,4,17,38,07/03/21
,The Cranberries,"2,041,079,209","2,574,930",261,0,4,17,115,10/24/21
,Keith Urban,"2,036,902,059","292,307,127",188,0,6,34,109,09/02/21
,Aya Nakamura,"2,036,460,469","129,447,372",67,0,5,31,67,10/26/21
,A Day To Remember,"2,034,046,038",0,133,0,3,53,124,08/30/21
,Black Sabbath,"2,029,802,816","12,054,141",283,0,3,30,112,10/25/21
,TOTO,"2,027,598,148","2,940,202",394,1,3,10,75,06/20/21
,Rels B,"2,026,937,993","16,906,675",91,0,2,54,88,05/26/21
,Daryl Hall & John Oates,"2,022,631,743","25,605",538,0,4,12,60,09/26/21
,GIMS,"2,022,497,969","249,678,447",176,0,2,44,151,10/23/21
,Brytiago,"2,018,605,361","1,732,372,521",76,0,5,34,68,10/18/21
,Andy Grammer,"2,013,708,497","4,496,550",74,0,5,21,69,09/03/21
,Vicente Fernández,"2,011,298,442","79,252,787",831,0,0,43,283,08/26/21
,Kodaline,"1,999,983,259","261,805,631",122,0,4,31,83,09/29/21
,PnB Rock,"1,998,775,196","1,562,296,149",97,0,4,32,85,07/29/21
,Dermot Kennedy,"1,989,932,199",0,65,0,4,34,55,09/05/21
,Prince,"1,988,889,846","3,275,375",826,0,4,29,160,10/20/21
,The White Stripes,"1,982,166,424",0,172,0,3,18,108,09/11/21
,Scorpions,"1,980,827,575","1,628,754",344,0,5,16,139,06/21/21
,ODESZA,"1,980,615,898","114,604,652",157,0,2,48,124,09/04/21
,Melendi,"1,976,196,759","110,257,566",204,0,2,49,189,10/16/21
,Sfera Ebbasta,"1,974,482,472","989,902,006",81,0,0,56,80,10/25/21
,Milky Chance,"1,973,421,615","5,656,583",55,0,4,27,51,06/14/21
,Kali Uchis,"1,967,661,627","1,241,280,563",61,0,3,44,57,10/25/21
,Enya,"1,960,720,755","396,144,784",144,0,3,49,126,10/14/21
,Aretha Franklin,"1,958,068,431","12,274,388",917,0,4,27,129,10/17/21
,Sabaton,"1,953,615,847","984,475",258,0,0,63,150,10/21/21
,Carrie Underwood,"1,953,157,840","333,893,380",156,0,3,35,108,10/25/21
,Bibi und Tina,"1,951,141,273","22,746,305","3,428",0,0,1,354,10/09/21
,Mustard,"1,949,734,790","1,671,534,288",74,0,4,17,53,09/03/21
,Tainy,"1,946,553,010","1,251,603,662",39,0,3,13,29,10/01/21
,Evanescence,"1,944,915,713",0,108,0,3,26,90,10/27/21
,Pedro Capó,"1,944,751,418","125,128,429",69,0,3,11,41,07/25/21
,Rod Stewart,"1,944,279,343","415,547,570",719,0,4,36,205,10/14/21
,El Alfa,"1,936,293,752","394,695,018",171,0,5,35,110,07/17/21
,Van Halen,"1,935,463,127","23,824",188,0,4,24,108,08/09/21
,Damso,"1,933,936,144","568,054,565",91,0,1,68,88,10/25/21
,WALK THE MOON,"1,928,606,850","99,430,411",89,1,3,24,51,09/23/21
,C. Tangana,"1,928,570,636","136,741,854",77,0,5,41,75,10/26/21
,Shaggy,"1,925,456,469","446,282,356",409,0,5,21,94,09/02/21
,gnash,"1,915,854,995","271,054,469",76,1,2,23,60,09/03/21
,Nelly Furtado,"1,908,371,049","233,835,738",210,0,6,13,54,10/25/21
,Hardwell,"1,904,378,051","239,216,545",412,0,0,45,157,09/04/21
,Nacho,"1,903,774,637","122,958,940",110,0,6,24,52,10/26/21
,Don Diablo,"1,899,491,337","98,944,630",226,0,0,55,119,08/01/21
,Sublime,"1,894,724,388","113,822",211,0,3,26,109,06/22/21
,Marilyn Manson,"1,891,733,736","48,280,274",227,0,3,32,171,10/23/21
,Samra,"1,888,933,794","260,729,243",95,0,3,45,82,04/30/21
,Sum 41,"1,886,755,992","5,002,907",127,0,5,28,95,10/26/21
,Two Door Cinema Club,"1,875,524,020","1,802,459",135,0,4,29,88,10/01/21
,Carlos Rivera,"1,873,483,972","437,377,632",204,0,3,37,140,10/26/21
,George Strait,"1,870,035,343","25,674,534",444,0,2,42,191,09/02/21
,Mac DeMarco,"1,858,140,582","41,504,498",158,0,4,43,111,08/23/21
,3 Doors Down,"1,851,278,849","586,464",145,0,3,17,102,10/26/21
,Ozzy Osbourne,"1,848,640,050","53,688,768",213,0,3,22,120,10/06/21
,Ella Mai,"1,846,702,210","279,339,801",37,0,5,32,36,10/15/21
,Noriel,"1,845,205,637","1,190,362,093",85,0,4,36,79,10/08/21
,De La Ghetto,"1,839,686,676","2,016,862,956",146,0,4,34,88,09/11/21
,Jorja Smith,"1,835,734,619","394,177,118",68,0,4,38,62,10/05/21
,MGMT,"1,830,535,713","754,577,286",86,0,4,18,58,06/18/21
,Dave,"1,829,989,579","100,469,085",58,0,4,39,58,10/18/21
,Colbie Caillat,"1,825,164,259","100,772,650",105,0,3,17,89,09/02/21
,Fergie,"1,824,083,843","176,011,407",78,0,6,10,45,10/15/21
,RAYE,"1,821,061,221","522,503,205",82,0,4,20,51,10/23/21
,José José,"1,819,408,635","110,812,739",448,0,1,46,164,09/29/21
,Desiigner,"1,819,030,377","512,159,030",51,1,2,14,40,09/08/21
,R. Kelly,"1,818,765,772","369,434,506",360,0,2,27,195,09/02/21
,Bethel Music,"1,817,317,476",0,285,0,0,43,240,09/30/21
,Louis Tomlinson,"1,813,068,610","9,675,546",42,0,4,19,28,10/27/21
,Clairo,"1,808,849,595","603,319,044",25,0,7,25,25,10/22/21
,Cali Y El Dandee,"1,807,094,119","165,763,977",60,0,5,28,52,02/19/21
,Arizona Zervas,"1,805,159,677","11,365,330",30,1,2,14,29,10/11/21
,Rascal Flatts,"1,799,864,611","49,788,758",227,0,4,26,114,09/02/21
,Gotye,"1,788,466,941","4,367,557",56,0,2,9,25,02/07/21
,Stray Kids,"1,778,670,984","20,122,884",110,0,2,59,101,10/26/21
,Astrid S,"1,776,939,827","116,767,544",100,0,4,34,76,07/06/21
,Sido,"1,773,546,049","458,747,712",359,0,2,40,173,09/21/21
,Jaden,"1,771,986,347","1,294,841,613",110,0,2,37,93,10/22/21
,OMI,"1,765,777,327","119,271,377",43,1,2,7,26,10/16/21
,Red Velvet,"1,761,669,521","11,322,756",115,0,5,24,103,10/26/21
,MØ,"1,761,472,850","3,191,790,440",112,0,4,29,78,10/20/21
,MC Kevinho,"1,759,208,143","252,393,656",59,0,3,31,49,06/21/21
,Luan Santana,"1,758,174,745","223,252,045",196,0,2,36,149,10/23/21
,Vampire Weekend,"1,751,496,226",0,74,0,1,45,67,09/21/21
,The Smashing Pumpkins,"1,751,426,436",0,418,0,5,23,130,10/08/21
,Joyner Lucas,"1,747,515,348","651,141,507",83,0,3,32,76,09/22/21
,Ms. Lauryn Hill,"1,746,010,452","277,283,713",89,0,5,24,56,10/24/21
,The Clash,"1,745,279,506",0,236,0,3,21,92,10/03/21
,Luciano,"1,739,792,255","319,142,793",144,0,0,50,115,08/18/21
,Goodboys,"1,733,504,326","3,127,165",38,0,3,7,15,07/13/21
,Limp Bizkit,"1,729,420,743","2,809,309",114,0,5,21,93,02/22/21
,M83,"1,724,667,333","14,721,792",238,0,2,20,108,09/21/21
,Joan Sebastian,"1,722,021,223",0,470,0,2,32,188,10/31/20
,Annie Lennox,"1,720,968,638","7,891,814",322,0,3,20,78,10/08/21
,Mike WiLL Made-It,"1,719,563,002","238,152,584",135,0,5,27,68,05/08/21
,Pharrell Williams,"1,717,085,943","5,533,301,195",107,0,2,19,58,09/15/21
,Sleeping At Last,"1,715,283,824","90,559",275,0,3,37,162,07/30/21
,Thirty Seconds To Mars,"1,711,915,432","45,274,414",83,0,4,32,74,09/16/21
,The Kooks,"1,709,760,603",0,230,0,5,27,94,07/19/21
,Lord Huron,"1,706,099,834",0,75,0,3,20,66,09/25/21
,Portugal. The Man,"1,704,124,466","40,958,424",170,0,1,25,86,02/22/21
,Olly Murs,"1,697,526,985","26,746,459",179,0,4,23,108,09/14/21
,Stefflon Don,"1,692,884,847","289,527,958",75,0,6,18,56,08/27/21
,Lofi Fruits Music,"1,690,425,100","110,241,102","1,087",0,0,15,448,09/06/21
,Rod Wave,"1,689,840,184","40,846,675",110,0,3,42,106,10/17/21
,Jessie Reyez,"1,689,642,977","444,807,204",60,0,3,24,51,08/02/21
,El Fantasma,"1,689,393,864","43,098,880",183,0,2,47,136,08/18/21
,Kacey Musgraves,"1,688,862,366","112,487,433",125,0,2,36,88,10/25/21
,Westlife,"1,688,813,151","20,077",216,0,2,34,140,10/19/21
,Loud Luxury,"1,688,216,803","44,501,635",129,0,2,21,42,09/04/21
,Tom Odell,"1,678,553,182","41,312,165",125,0,3,23,72,10/25/21
,DMX,"1,677,753,592","223,179,847",300,0,4,22,92,10/26/21
,Keane,"1,669,034,188","575,931",195,0,2,23,104,10/25/21
,Joey Bada$$,"1,668,775,774","624,051,990",111,0,3,43,90,09/12/21
,Kontra K,"1,667,863,518","175,041,048",224,0,0,49,146,05/15/21
,Ha*Ash,"1,667,258,929","387,655,077",125,0,3,37,90,10/23/21
,Jay Wheeler,"1,665,237,797","320,364,146",99,0,2,28,75,10/09/21
,Natanael Cano,"1,664,943,023","158,783,510",116,0,2,38,107,10/26/21
,Nekfeu,"1,663,428,661","420,126,358",95,0,0,64,88,10/22/21
,TINI,"1,661,981,271","226,614,098",63,0,5,26,57,10/27/21
,Michael Silverman,"1,660,294,072","202,368",934,0,0,45,224,02/26/21
,Topic,"1,653,586,230","5,769,890",80,0,2,16,45,08/12/21
,Queens of the Stone Age,"1,653,412,930",0,142,0,2,39,106,07/11/21
,Owl City,"1,651,691,885","83,245,272",109,0,2,25,101,08/18/21
,Santana,"1,650,082,208","3,221,169",614,0,4,24,125,10/21/21
,SEVENTEEN,"1,645,614,182",0,132,0,1,42,126,10/26/21
,Snow Patrol,"1,645,595,500","9,764,830",191,0,2,22,97,09/30/21
,Gerardo Ortiz,"1,642,590,276","411,753,848",233,0,1,36,170,02/12/21
,Swedish House Mafia,"1,641,850,031","1,825,989",36,0,5,16,30,10/18/21
,Dierks Bentley,"1,641,067,921","151,851,446",149,0,4,24,85,09/02/21
,Ben Howard,"1,637,484,586","463,674",60,0,4,27,50,10/23/21
,Danna Paola,"1,634,869,449","48,148,186",101,0,5,28,62,10/27/21
,Moneybagg Yo,"1,634,135,129","860,173,671",252,0,0,40,181,10/22/21
,Kelly Rowland,"1,628,739,740","661,225,693",173,0,4,17,68,01/22/21
,Afrojack,"1,628,200,244","1,395,253,007",305,0,2,32,121,05/02/21
,Booba,"1,627,926,606","616,978,294",234,0,0,47,186,10/22/21
,Incubus,"1,624,593,194",0,229,0,3,28,128,09/02/21
,Gryffin,"1,624,514,140","414,715,959",120,0,6,24,72,04/23/21
,MAX,"1,621,199,905","167,174,319",138,0,4,26,76,10/19/21
,Apache 207,"1,620,466,836","108,273,271",33,0,2,31,33,08/06/21
,Elevation Worship,"1,620,461,758","12,831,641",240,0,1,34,169,10/01/21
,Ciara,"1,618,098,438","402,341,317",155,0,4,23,86,09/23/21
,Powfu,"1,617,907,608","107,941,893",66,1,1,12,62,09/03/21
,Tee Grizzley,"1,617,436,989","139,751,443",129,0,3,24,109,05/12/21
,Lil Dicky,"1,616,460,233","114,899,323",22,0,5,16,22,09/03/21
,Sara Bareilles,"1,614,037,594","74,694,570",186,0,4,21,107,10/26/21
,Yo Gotti,"1,612,651,009","1,174,641,342",479,0,2,27,130,07/04/21
,Los Tigres Del Norte,"1,612,543,190","141,929,772",629,0,0,34,233,09/06/21
,Ali Gatie,"1,612,409,670","1,734,846",34,0,3,18,30,06/07/21
,Gigi D'Agostino,"1,607,853,514","811,917",423,1,2,7,29,07/02/21
,Aloe Blacc,"1,607,469,913","221,208,510",189,0,3,17,58,04/10/21
,La Oreja de Van Gogh,"1,604,731,207","56,855,566",182,0,2,35,161,10/26/21
,Cosculluela,"1,602,713,772","854,087,172",125,0,4,23,82,02/15/21
,Thalia,"1,600,873,719","265,152,280",305,0,2,29,124,10/26/21
,Trevor Daniel,"1,598,470,985","144,755,306",42,1,2,12,41,08/12/21
,KISS,"1,597,372,365",0,411,0,3,15,128,06/09/21
,Quinn XCII,"1,592,676,323",0,69,0,3,41,69,11/14/20
,CHVRCHES,"1,591,449,210","5,074,935",116,0,2,30,83,10/12/21
,TKKG,"1,590,067,517",0,"4,763",0,0,0,28,01/02/21
,Mötley Crüe,"1,588,883,158",0,225,0,4,21,87,10/15/21
,Beret,"1,586,857,502","43,424,522",48,0,3,40,47,10/04/21
,ANAVITÓRIA,"1,585,687,353","216,439,786",72,0,3,37,68,10/27/21
,Kollegah,"1,584,591,974","94,663,622",551,0,0,39,289,10/14/21
,Frédéric Chopin,"1,580,987,576","1,163,362","9,790",0,0,20,229,08/06/21
,Charlie Brown Jr.,"1,580,294,868","35,076,703",278,0,0,30,160,10/03/21
,Wale,"1,580,208,020","1,154,717,634",238,0,3,33,130,01/05/21
,Blueface,"1,578,666,919","506,759,991",88,0,4,25,69,09/26/21
,Wham!,"1,575,017,706","803,322",36,0,2,8,28,10/20/21
,Conor Maynard,"1,573,210,113","290,548,203",128,0,3,37,81,07/10/21
,Daya,"1,567,388,316","1,974,448,643",43,0,4,17,38,10/21/21
,Gwen Stefani,"1,567,367,202","859,314,178",98,0,3,17,65,10/26/21
,Zoé,"1,566,169,419","8,309,495",188,0,3,38,109,01/29/21
,fun.,"1,563,903,413","179,922",26,0,3,16,25,09/22/21
,Leona Lewis,"1,562,947,663","47,122,679",130,0,4,16,73,10/24/21
,Old Dominion,"1,558,080,029","2,210,265",74,0,6,25,51,09/03/21
,Bryant Myers,"1,555,580,281","1,572,871,706",92,0,4,39,83,03/11/21
,Willy William,"1,554,428,694",0,97,1,2,7,23,11/16/20
,Lady A,"1,553,890,200","123,565,129",220,0,2,24,120,09/03/21
,Gente De Zona,"1,552,539,697","1,252,561,307",111,0,3,20,76,09/23/21
,Martin Jensen,"1,550,508,031","248,746,085",68,0,3,19,41,01/11/21
,The Jackson 5,"1,548,706,728","2,117,270",349,0,3,11,46,10/26/21
,Nas,"1,546,917,718","652,936,327",302,0,2,32,163,01/06/21
,Die drei !!!,"1,543,605,722","23,498,439","2,798",0,0,0,58,10/09/21
,Sufjan Stevens,"1,537,720,483","30,503,692",388,0,1,26,170,08/07/21
,John Lennon,"1,537,015,542","5,548,139",463,0,3,20,82,10/25/21
,Dilsinho,"1,536,975,587","323,485,409",138,0,3,29,116,10/20/21
,Casper Magico,"1,532,557,006","158,823,124",80,0,2,17,54,01/02/21
,Chief Keef,"1,531,749,381","493,317,969",534,0,4,23,167,09/17/21
,Darell,"1,529,447,202","4,202,605,904",124,0,4,29,86,10/02/21
